"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"3";"8.0";"lat";"Orejuela";"lat";"6.26";"262";"0,40";"0,06";"2.8";"0,45";"2,40";"0.6"
"3";"8.0";"lat";"Abner Vinícius";"lat";"6.24";"262";"0,40";"0,06";"-0.1";"-0,02";"-0,50";"0.2"
"3";"12.0";"lat";"Calegari";"lat";"10.23";"285";"1,54";"0,15";"0.9";"0,09";"-0,64";"0.6666666666666666"
"3";"12.0";"lat";"Guilherme Arana";"lat";"13.18";"294";"1,07";"0,08";"3.6";"0,27";"2,53";"0.8333333333333334"
"3";"12.0";"lat";"Cris Silva";"lat";"11.46";"285";"0,98";"0,09";"0.0";"0,00";"-0,98";"0.3333333333333333"
"3";"12.0";"lat";"Welington ";"lat";"10.94";"280";"0,97";"0,09";"3.9";"0,36";"2,93";"1.0"
"3";"12.0";"lat";"Lucas Pires";"lat";"11.84";"327";"0,74";"0,06";"-0.1";"-0,01";"-0,84";"0.16666666666666666"
"3";"12.0";"lat";"Fagner";"lat";"12.0";"275";"0,59";"0,05";"0.0";"0,00";"-0,59";"0.5"
"3";"4.0";"mei";"Valdívia";"mei";"5.58";"286";"3,66";"0,66";"2.0";"0,36";"-1,66";"0.6176470588235294"
"3";"4.0";"mei";"Pablo Maia";"mei";"4.09";"280";"2,69";"0,66";"1.7";"0,42";"-0,99";"0.5588235294117647"
"3";"4.0";"mei";"Pepê";"mei";"3.91";"286";"2,39";"0,61";"5.2";"1,33";"2,81";"0.7941176470588235"
"3";"4.0";"mei";"Yuri Lima";"mei";"4.31";"1371";"2,35";"0,54";"2.0";"0,46";"-0,35";"0.5882352941176471"
"3";"4.0";"mei";"Elvis";"mei";"5.72";"314";"2,27";"0,40";"12.9";"2,26";"10,63";"0.9411764705882353"
"3";"4.0";"mei";"Apodi";"mei";"5.53";"314";"1,99";"0,36";"7.4";"1,34";"5,41";"0.8823529411764706"
"3";"4.0";"mei";"Du Queiroz";"mei";"3.89";"275";"1,95";"0,50";"0.7";"0,18";"-1,25";"0.4411764705882353"
"3";"4.0";"mei";"Allan";"mei";"3.55";"294";"1,90";"0,54";"0.0";"0,00";"-1,90";"0.29411764705882354"
"3";"4.0";"mei";"Caio";"mei";"2.67";"314";"1,71";"0,64";"0.0";"0,00";"-1,71";"0.20588235294117646"
"3";"4.0";"mei";"Maycon";"mei";"5.34";"275";"1,68";"0,31";"4.7";"0,88";"3,02";"0.7352941176470589"
"3";"4.0";"mei";"Eric Ramires";"mei";"5.29";"276";"1,60";"0,30";"-2.0";"-0,38";"-3,60";"0.029411764705882353"
"3";"4.0";"mei";"Hyoran";"mei";"5.25";"276";"1,60";"0,31";"9.8";"1,87";"8,20";"0.9117647058823529"
"3";"4.0";"mei";"Régis";"mei";"4.66";"282";"1,30";"0,28";"0.6";"0,13";"-0,70";"0.4117647058823529"
"3";"4.0";"mei";"Jadsom Silva";"mei";"4.94";"276";"1,29";"0,26";"3.4";"0,69";"2,11";"0.6764705882352942"
"3";"4.0";"mei";"Rodrigo Fernández";"mei";"4.91";"327";"1,28";"0,26";"0.3";"0,06";"-0,98";"0.35294117647058826"
"3";"4.0";"mei";"Willian Maranhão";"mei";"4.57";"327";"1,28";"0,28";"-0.1";"-0,02";"-1,38";"0.11764705882352941"
"3";"4.0";"mei";"Rodrigo Lindoso";"mei";"4.92";"356";"1,03";"0,21";"-1.3";"-0,26";"-2,33";"0.058823529411764705"
"3";"4.0";"mei";"Richard Coelho";"mei";"4.88";"356";"1,03";"0,21";"7.0";"1,43";"5,97";"0.8529411764705882"
"3";"4.0";"mei";"Vina";"mei";"4.62";"356";"1,01";"0,22";"1.1";"0,24";"0,09";"0.47058823529411764"
"3";"4.0";"mei";"Chico";"mei";"5.33";"1371";"0,88";"0,17";"1.3";"0,24";"0,42";"0.5294117647058824"
"3";"4.0";"mei";"Eduardo";"mei";"4.77";"290";"0,75";"0,16";"0.4";"0,08";"-0,35";"0.38235294117647056"
"3";"4.0";"mei";"Liziero";"mei";"5.42";"266";"0,67";"0,12";"0.0";"0,00";"-0,67";"0.17647058823529413"
"3";"4.0";"mei";"Matheus Vargas";"mei";"5.11";"354";"0,63";"0,12";"-1.0";"-0,20";"-1,63";"0.08823529411764706"
"3";"4.0";"mei";"Zé Ricardo";"mei";"2.04";"277";"0,58";"0,28";"1.2";"0,59";"0,62";"0.5"
"3";"4.0";"mei";"Marcão Silva";"mei";"2.3";"286";"0,53";"0,23";"4.2";"1,83";"3,67";"0.7058823529411765"
"3";"4.0";"mei";"Gabriel";"mei";"3.78";"266";"0,49";"0,13";"5.1";"1,35";"4,61";"0.7647058823529411"
