"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"3","4.0","ata","Carlos de Pena","ata","4.11","266","1.60","0.39","1.4","0.34","-0.20","7"
"3","4.0","ata","Copete","ata","3.19","290","1.52","0.48","1.8","0.56","0.28","6"
"3","4.0","ata","Canobbio","ata","4.69","262","1.47","0.31","0.9","0.19","-0.57","8"
"3","4.0","ata","Clayton","ata","2.78","282","0.91","0.33","0.5","0.18","-0.41","9"
"3","4.0","ata","Vitinho","ata","3.6","262","0.83","0.23","2.6","0.72","1.77","3"
"3","4.0","ata","André Luís","ata","3.89","286","0.45","0.12","0.0","0.00","-0.45","10"
"3","4.0","ata","Zé Roberto","ata","5.46","356","0.36","0.07","0.0","0.00","-0.36","11"
"3","4.0","ata","Romarinho","ata","2.71","354","0.07","0.02","3.3","1.22","3.23","2"
"3","8.0","ata","Everaldo ","ata","9.01","277","3.80","0.42","0.0","0.00","-3.80","8"
"3","8.0","ata","Eder","ata","9.41","280","3.05","0.32","0.3","0.03","-2.75","7"
"3","8.0","ata","Alef Manga","ata","9.08","282","2.87","0.32","4.6","0.51","1.73","2"
"3","8.0","ata","Pedro Raul","ata","9.01","314","2.85","0.32","0.5","0.06","-2.35","6"
"3","8.0","ata","Felipe Azevedo","ata","6.74","277","2.55","0.38","2.2","0.33","-0.35","5"
"3","8.0","ata","Paulinho Bóia","ata","6.71","277","2.54","0.38","2.9","0.43","0.36","3"
"3","8.0","ata","Ângelo","ata","6.32","327","2.54","0.40","0.0","0.00","-2.54","9"
"3","8.0","ata","Robson","ata","6.01","354","1.75","0.29","-0.4","-0.07","-2.15","11"
"3","8.0","ata","Sorriso","ata","6.75","276","1.04","0.15","2.3","0.34","1.26","4"
"3","8.0","ata","Óscar Ruíz","ata","9.1","1371","0.95","0.10","0.0","0.00","-0.95","10"
"3","8.0","ata","Ytalo","ata","6.89","276","0.81","0.12","9.7","1.41","8.89","1"
"3","12.0","ata","Muriqui","ata","10.44","290","3.38","0.32","0.0","0.00","-3.38","6"
"3","12.0","ata","Erison","ata","11.3","373","3.05","0.27","1.2","0.11","-1.85","4"
